;documents;0;1;2;3;4
117;J'aime beaucoup se produit.;0.019366150325079615;0.021310576537027254;0.022463401772387922;0.0014305596475486834;0.007875670362753748
118;tres jolie palette pour rougeurs. cernes. imperfections j'adore j'utilise tous les matins au moins pour camoufler mes cernes. parfaite.. je recommande;0.05213683045263598;0.008217315660838241;4.23703273784905e-06;0.08041286792669336;0.0
119;Très efficace sur des cheveux grisonnants. Un bec verseur ou un pulvérisateur aurait grandement facilité la manipulation. Pas la peine de s'en servir tous les jours.;0.0006539895012532137;0.006058644832665793;0.003116933670307888;0.00012743942836149279;0.00019164886455667914
120;J'ai testé la majorité de ses concurrents et c'est le meilleur d'après moi :;0.0003896038013006025;0.0014515501172718012;0.004265768289488765;0.0015303455436607573;0.0
121;;0.0;0.0;0.0;0.0;0.0
122;Rendu naturel sans brillance, produit non-gras et peu agressif, tenue extra-forte.;0.007585196137716517;0.009336300778425621;0.00713178639201567;0.0067081290934093325;0.0023581806793928515
123;Pas forcément utile mais son parfum sent très bon.;0.00035931864261164875;0.00048792426941211484;0.00029977990089421146;5.4009976016168294e-06;0.0
124;De plus, son prix est attractif en pack de 3.;0.0;0.0;0.09227279604409733;0.0;0.0
125;;0.0;0.0;0.0;0.0;0.0
126;5/5;0.0;0.0;0.0;0.0;0.0
127;Gel fort et ne fait pas de pellicule blanche quand il sèche;0.0021566001045114176;0.007032582570142033;0.004874954353190569;0.012692067882697266;0.000329293715301863
128;Utilisé sur des cheveux gris, j'ai dénoté une bonne différence.;0.0009278744674725909;0.005924288034024835;0.004637394605816791;0.011537877144222133;0.000102339092483831
129;;0.0;0.0;0.0;0.0;0.0
130;Fonctionne bien sur des cheveux déjà décolorés pour les entretenir. En tout cas sur les miens.;0.001087183794317502;0.002142482831632213;0.003083494898934351;0.0035654081186097925;0.0025087073052629384
131;Un bon shampoing correcteur, pour raviver le blond tres terni et redonner un coup de peps a son blond, a utiliser de temps en temps sauf si vous avez un vrai blond glacier/gris;0.0031130614188377643;0.006218011126117618;0.007248199785223216;0.017120152866673902;0.0032788519257842914
132;Non je n'ai pas trouvé top top cette palette : même la main légère on remarque les démarcations, comme anti-cernes : niet, comme camoufleur de rougeurs : idem, dommage je pensai que cela ne se verrait pas hélas... la texture crémeuse pénètre dans les pores... et se fige dans les ridules..... bref moi déçue dommage peut être que d'autres sont ravies ce qui n'est pas mon cas par contre je n'ai pas mis de fond de teint par dessus juste une eau de teint;0.002198403994955171;0.021766061711461795;0.007248817266282274;0.010685391787821614;0.0009815276627948024
133;Arrivé en parfait état et dans les délais prévus. Le problème c'est que le packaging ne correspond pas à la photo et je ne le trouve pas sur le net... Mais bon je vais quand même l'évaluer:;0.0005614499428629705;0.0;0.002975074296434671;0.06963817220919367;0.01045324650484842
134;Je mes très couvent l'eye liner. Je trouve ce produit vraiment pas mal! Seul bémol: le pinceau est un peu souple ça peut convenir a certaine mais je suis adepte du pinceau rigide ceci dit j'arrive à tracer mon trait, ça couleur est intense, du noir comme on aime!!! En résumé je dirai qu'il est presque parfait je le recommande !;0.034622382198754194;0.004954819890649363;0.006322595321713904;0.05215609890570346;0.0022409108106945888
135;Bien mieux que nivea men que j'utilise deouis un moment. J'ai aussi testé avant celui ci le loreal hydra énergétic mais tjs pas convaincu j'ai acheté celui ci. A la première utilisation j'ai senti une différence et vu aussi que j'avais les traits moins tirés. Je travaille en horaires 3x8 ( matin, ap - midi,  nuit ) et j'ai besoin de rattraper les effets des décalages horaires. J'en suis satisfait. Il sent très bon et sa texture est excellente.;0.0020134768584100606;0.01252612679313453;0.008780188279763285;0.0035337591279995645;0.0018127595677525105
136;Je l'utilise quotidiennement et les résultats sont probants.  Je recommande cette crème de soins.;0.07320475622168714;0.007766088775773598;0.004204813044564015;0.011622053418000723;0.0018928711435409957
137;Un excellent rapport qualité prix également;0.0;0.0;0.161794291086984;0.0;0.0
138;Très bon soins , je le laisse agir une fois par semaine pendant 1h avant le rinçage pour un meilleur résultat;0.003136814088767922;0.01054753021904367;0.009120745460557883;0.009791926023618858;0.0035119422785152843
139;Toujours aussi bien !;0.0;0.0;0.0;0.0;0.0
140;J'adore ce liner! Facile à appliquer, tiens bien et très jolie noir brillant! Je recommande ce produit qui pour moi est de très bonne qualité!;0.07522845351621006;0.026489026890924763;0.06586824564764261;0.0038836042565640917;0.00453353401516591
141;Cette huile a fait ses preuves. Je l'utilise depuis sa sortie à la vente en soin ou retouche sur cheveux secs ou mouillés. Un must have quotidien;0.001803658432518474;0.006897052993805788;0.0051261019689555695;0.009724043902916738;0.000609289495450418
142;Cela fait longtemps que j’utilise cette cire, elle fixe très bien, très vite et sans effet gras ou mouillé, c’est exactement ce que je recherche chez un produit coiffant : l’invisibilité. Le parfum est agréable, seul point négatif à mon sens : le conditionnement est trop petit même si il en faut peu pour se coiffer. Je recommande vivement cette cire si vous cherchez une fixation forte et un effet invisible.;0.03475391813216839;0.03533320846274435;0.005480911088895253;0.0067083858857776985;0.0
143;Conditionnement très économique par rapport aux 500 ml que j'achetais chez mon coiffeur pour pratiquement le même prix. Il faut juste prévoir une pompe pour une utilisation plus pratique... ou récupérer sa pompe de son flacon de 500 ml :) Très bon shampoing que j'utilise depuis plusieurs années. La couleur ne vire pas et les cheveux restent soyeux.;0.0007540252638755717;0.012780345787484904;0.06571587757098664;0.017237309612728097;0.0028625629237521667
144;Le boîtier est arrivé cassé, avec plein de bout de plastiques partout à l’intérieur et de ce fait, il ne se ferme pas. En soit, ce n’est pas si grave et la qualité n’est pas altérée mais bon, un peu embêtant pour le transport.;0.0;0.0;0.03356007305612584;0.0;0.0
145;Ce shampoing est génial pour éviter d'avoir les cheveux qui jaunissent même sur les cheveux blonds (qu'ils soient colorés ou pas);0.003484220533453118;0.006099824507899769;0.0057805015148295075;0.01440253143465542;0.0014726221810389944
