,avg_mark,brand,price,product_id,product_name,product_type,retailer_id,,,
96,3.6,LOrealParis,4.89,B00CWZP5BK,L'Oréal Ombre à Paupières E6 Eau de Rose,"Vêtements, Fantaisie et Specialty, Fantaisie, Hauts, T-shirts",amazon_fr,,,
97,4.2,LOrealParis,13.1,B071KWYBZZ,L'Oréal Magnesium Silver Shampooing 500 ml,"Hygiène et Santé, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,,
98,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
99,4.8,LOrealParis,9.95,B00IHX4OTK,L'Oréal- Depolish - Wild Stylers  - 100ml,"Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires, Beauté et Parfum, Accessoires, Accessoires de maquillage et outils, Beauté et Parfum, Maquillage",amazon_fr,,,
100,4.2,LOrealParis,11.8,B07MNLBG8L,L'Oréal Paris &ndash, Infaillible More Than Concealer &ndash, Correcteur et Fond de Teint 2 en 1 (321) Coquille d'&oelig,uf 11ml,"Beauté et Parfum, Maquillage, Teint, Fonds de teint",amazon_fr
101,4.6,LOrealParis,8.3,B006OO5DGW,L'Oréal Paris Mascara Allongeant Telescopic Noir,"Beauté et Parfum, Maquillage, Yeux, Mascaras",amazon_fr,,,
102,3.6,LOrealParis,4.89,B00CWZP5BK,L'Oréal Ombre à Paupières E6 Eau de Rose,"Vêtements, Fantaisie et Specialty, Fantaisie, Hauts, T-shirts",amazon_fr,,,
103,4.2,LOrealParis,13.1,B071KWYBZZ,L'Oréal Magnesium Silver Shampooing 500 ml,"Hygiène et Santé, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,,
104,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
105,4.8,LOrealParis,9.95,B00IHX4OTK,L'Oréal- Depolish - Wild Stylers  - 100ml,"Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires, Beauté et Parfum, Accessoires, Accessoires de maquillage et outils, Beauté et Parfum, Maquillage",amazon_fr,,,
106,4.2,LOrealParis,11.8,B07MNLBG8L,L'Oréal Paris &ndash, Infaillible More Than Concealer &ndash, Correcteur et Fond de Teint 2 en 1 (321) Coquille d'&oelig,uf 11ml,"Beauté et Parfum, Maquillage, Teint, Fonds de teint",amazon_fr
107,4.6,LOrealParis,8.3,B006OO5DGW,L'Oréal Paris Mascara Allongeant Telescopic Noir,"Beauté et Parfum, Maquillage, Yeux, Mascaras",amazon_fr,,,
