;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
51;J'ai un meilleur rendu et fondu avec un application au doigt plutôt qu'avec le pinceau, j'ai principalement appliqué le vert, les autres couleurs étant difficile à appliquer pour moi puisque je dois en mixer plusieurs pour pouvoir atténuer mes cernes. Je pense que les teintes ne sont pas adaptées à ma carnation,j'aurais besoin d'un anti-cernes plus jaune. Après application de mon fond de teint, le correcteur ne se perçoit pas et c'est le plus important qu'il camoufle les imperfections sans être visible.;3.5568303810187086e-05;0.0;0.0;0.009991278433456855;0.0;0.0;0.0003905341290961393;0.0;0.0001679048296286167;7.732157749848103e-06;0.003802118585777021;0.00041988634751709573;0.0;0.002603373978094579;0.06783556179126189;0.05016334581886874;0.003759696078922142;0.0;0.0
52;Livraison express comme d'abitude .;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.712287288179706e-05;0.0;0.0;0.0;0.11560842804099697;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;petit prix .;0.0;0.13567214019486365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7440009615046226e-05;0.0010048971487617714;0.0;0.04565295135548102;0.0;0.0;0.020681935704326273
54;Bon shampoing pour déjaunir les cheveux mechés.;0.0;0.0005036941560061264;0.0;0.0;0.0;0.0;0.0003534054318167706;0.0;0.0001744572639056099;0.0009566878211972564;0.002084393590077995;0.001886075330655044;0.0;0.0009121885060024603;0.0;0.004326884610035819;0.0;0.0;0.0
55;pratique avec sa pompe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011847013992056477;0.0;0.0;0.0008194612865711103;0.0;0.0;0.0;0.0;0.0;0.0;0.38524706333066205
56;satisfaite de mon achat;0.0;0.0015874711303061233;0.0;0.0;0.005315294622235342;0.2144230966142055;0.0006439243621994749;0.001006956205925683;0.0;0.00032311602135827287;8.059140691256879e-05;0.0024475619535369265;0.0;0.0;0.0;0.0;0.0;0.007045368179406939;0.0018010702105946501
57;Très bonne gamme, parfum doux et nourrit vraiment très bien le cheveux, je ne trouve pas mieux depuis ou sinon à chaque fois que j’ess Je reste déçu et reviens vite à ce masque;0.0004751568659239966;0.0;0.00034111523862887633;0.0010703889036514863;0.0002889242302203586;0.0;0.0;0.08556722253096445;0.0023456966065858653;0.0005028503120864742;0.0;3.5636303100407e-05;0.0;0.12321373423200065;0.0;0.015183020115998404;0.011466231040612677;0.0027557172399728593;0.00046181109417069865
58;Mascara allongeant qui tient toutes ses promesses. Noir intense. Brosse fine à pivots. Ne fait pas de paquets. Joli packaging.;0.0004462434409617959;0.0;0.0010494397887075;0.0006529191389730139;0.00018965009694266123;0.0;0.0011565043710695946;0.0;0.0;0.0;0.013463266421211406;6.634154149801711e-05;0.0;0.0;0.007731869422195126;0.017538052453439278;0.0010446287216425848;0.005058411231220054;0.03256739298034491
59;très bon produit ! rien à dire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;Première utilisation, une très petite quantité suffit pour se coiffer! (J'en ai mis trop ^^);0.0;0.005942745690046912;0.0032631483010933274;0.0;0.0;0.0;0.0;0.006768258823952832;0.0;0.0;0.0;0.0;0.0014740175330479608;0.0007735601658424609;0.09110170213841247;0.06053330461864323;0.0013969904890205197;0.0;0.031546740858454034
