;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
38;accompagne;0.0;0.0;0.0;0.00046960178671040607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004338797105642487;0.0;0.0;0.0
39;accompagner;0.0004624167873141503;0.0;0.0003604053953832403;0.0;0.005523457676338752;0.010930066817255106;0.0;0.009400731812812368;0.007254238257757904;0.0;0.0;0.009736970715022919;0.0;0.0033941241736857057;0.0;0.0028993462975237336;0.0;0.0;0.0
40;accord;0.0;0.0;0.001299346710396943;0.00016697091313336624;0.0;0.0;0.0;0.0;0.0;0.0;0.0009386952191246194;0.0;0.000857298334693312;0.0;0.0;0.00408187734835584;0.0;0.011061872121518587;0.0
41;accorde;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1267335259626568e-05;0.0;0.0;5.1981209216375645e-05;0.0;0.0;4.461014866920118e-05;2.4874607842842045e-05;0.0001098334876839819;0.0;0.0;7.085156899834157e-06
42;accorder;0.0;0.0;0.0;0.0;0.0002421979264785988;1.5480063765437565e-05;0.0;0.0;0.00010994889695793116;0.0;0.00010343144857733852;0.0;0.0;0.0;0.0007511681147057805;0.00028898882308409606;0.0;9.443100066078546e-06;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007488704036437656;0.0;0.0;0.0;0.0;0.00017898497862808857;0.0009570245608558167;0.0;4.5685164754073666e-05;0.0011543477601893108
44;accoucher;0.0;0.0005702250669844653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011320065239754245;0.0;0.0;4.108695651850738e-05
45;accro;0.0;0.0;0.0;0.002208260450516722;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024110723383060817;0.0011721781437323067;0.0;0.0
46;accroche;0.0;0.0;0.0;0.0036338998861466408;0.0;0.0;0.0;0.0;0.0;0.00011927105276210934;0.001778933750841926;0.0;0.0;0.0;0.002063161236996003;0.0032638455159298718;0.0;2.8814042833047312e-05;0.0016496459473009672
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002450161625293687;0.0013499112445078546;0.0;0.0;0.0
48;accueil;0.0;0.00033533302613137137;0.0;0.0;0.0;2.935779463773045e-05;0.0;0.0;0.0;0.0;0.00031267637979811826;0.0;0.0;0.0;0.0;0.0004070639447186351;0.0;7.504691614039594e-05;0.00023198619314440536
49;accès;0.0;0.0;0.0;0.0;0.0;0.005919626427082575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004707667652024581;0.0;0.0;0.0009230083012321335;0.0
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010760929578553199;0.0;0.0;0.0;0.0;0.0;0.0008282712555755315;0.0;0.0;0.0016491840784237984
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012695538411630132;0.0;0.0;0.0;0.0;0.0005855690958973457;0.0;0.0;0.0
52;achat;0.0;0.04662021915055479;0.0;0.0034912112731479593;0.06504930649213998;0.18884194183727673;0.012909188533508973;0.015574269677355581;0.003490154843990094;0.006819126743973985;0.010470668087104592;0.02339585436606224;0.0;0.0;0.0;0.04316953711996809;0.005397946837030902;0.05723510332288399;0.01657934380550711
53;achats;0.0;0.0;0.0015282563762007704;0.0026378153610068034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.942297652107963e-05;0.0
54;ache;0.0;6.749861712888875e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.00023672972167859205;1.104972072698259e-05;0.00022345643550763448;3.4773680326562874e-05;0.0;0.0;0.0;0.0006841867729295251;0.0;0.00010763024043847905;0.0
55;acheminement;0.0010675364766527828;0.0034345620174338603;0.0;0.0;0.0;0.0;0.002211957561732991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010139557756826594;7.078153539110459e-05
56;achetais;0.0004803028538906209;0.005875871099174552;0.0;0.0;0.0;0.0;0.0;0.0;0.0008048774008188507;0.0;0.0006877554160302725;0.0;0.0;0.0;0.0;0.014758131038907423;0.0;0.0;0.0056296888172550396
57;achete;0.0;0.0;0.0;0.0;0.018562452914497502;0.0;0.0;0.0;0.002145315639007147;0.0;0.0032144491572244213;0.0;0.0;0.0;0.0;0.007550142889802174;0.0;0.0;0.00018703273584884898
58;acheter;0.0;0.017053068971734076;0.0;0.0;0.006675849546182261;0.007679741699528943;0.0;0.019091499616708738;0.032153218865473246;0.00995052528860863;0.0;0.0;0.0;0.0;0.002268212123566257;0.28921811407208664;0.0;0.05658860020404201;0.011828212519692785
