;term;0;1;2;3;4;5;6;7
149;agéable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.602993570462486e-131
150;aide;0.0018853125718958814;0.0007786416862813554;0.0006309899198373212;0.0038145023419379307;0.0;0.007706871858307617;0.0011126521069710796;0.00700052429807094
151;aider;0.0;0.00431394840229687;0.0;0.006543951810758;0.003872197551602874;0.007595205195257444;0.0;0.0031109410051921595
152;ailes;0.0;2.1360536623812483e-05;0.0;0.000825073653280644;0.0;0.0015366943256576362;0.0;0.0006154233119241279
153;aimais;0.0;0.0;0.0;0.00033135917067297503;0.0;0.0029448126029392578;0.0;0.0016369833084515016
154;aimanter;0.0;0.0031716213396600326;0.0003087691185405945;4.759402197444929e-05;0.0;0.0;0.0;0.00032971900282687195
155;aime;0.0;0.11016726172666828;0.007985873012292196;0.0;0.0;0.0;0.0;0.18499052883438571
156;aiment;3.768219108921267e-06;0.0;0.0;5.898906574028899e-06;6.412037411825453e-05;9.24896658671946e-05;3.8917908125580696e-05;0.00024023226070182447
157;aimer;0.006006158770835248;0.03128158420902567;0.0007042094540597421;0.0;0.0;0.0037965770596130083;0.0;0.006347627021048564
158;aimerai;0.0;6.82724206973549e-05;2.6277282943224733e-06;3.076430987292365e-05;0.0;0.0;2.7593619981391514e-05;0.0001813750401998744
159;aimerais;0.0;0.0;0.0;0.0;0.0010560717375776333;0.0;0.0012909840467856778;0.0007282087430493402
