;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
2095;Excellent produit ,agréable ,au parfum discret,laisse les cheveux doux et brillants ! Je le recommande ! Juste une précaution,c'est de rincer rapidement après application pour éviter une éventuelle coloration bleutée !;0.04483969871497211;0.0;0.0004739451824099527;0.0019036703746548923;0.0008321583483465601;0.0;0.0008439428528955359;0.07603596113884087;0.0011952897945327456;0.0007037875148025553;0.002313682146136905;0.0;0.0003814829340475628;0.0018562824432895675;0.017573562880773254;0.02180863221761964;0.0005338631086712972;0.0055100598956471505;0.0;0.005507244390694397;0.0;0.005823939684894926;0.0;0.00024158462369620472;0.0;0.008973799756128642;0.0;0.006446227693122981;0.0001540788754835307
2096;Conseillé par mon coiffeur pour mes cheveux blond. Attention à la fréquence d’utilisation tout de même, c’est à l’origine adapté pour les cheveux blancs, très eficace.;0.0002268978459858849;0.0;0.0;0.0015278889493240465;0.0;0.00019815946891344412;0.0007483154038907787;0.0014660363924437357;0.0019144499027624873;0.006232647078463088;0.02045786360030865;0.0;0.0006653673397191689;0.000343939975544712;0.039257430679531455;0.0;0.0;0.012602656897074844;0.0;0.0;0.0054024148383602045;0.0;0.0;0.0;0.13363994849552605;0.0036270919720340355;0.0;0.0;0.0
2097;Par contre il assèche beaucoup les cheveux, qui sont à l’origine bien secs par la decoloration, utiliser un soin après son application est préférable.;8.627194676921529e-05;0.0;0.00017849465086575437;0.0016288494067842679;0.0;0.0;0.0003743543252385727;0.0;0.08489047446004577;0.0022230726247478012;0.0013119541789117593;0.0004464857154098372;0.0;0.010336612615915165;0.013816710286018127;0.0;0.004076280494875949;0.016285437217154128;0.0;0.0;0.0005282661153881348;0.001053971825452991;0.0;0.0;0.0001349767980935342;0.003175702699814156;0.0;0.0005848764625583819;0.0012009143561054136
2098;1ère fois que je l'utilise, il est efficace, mes cheveux sont déjaunis et pas bleus - Je suis très satisfaite, je passe une crème pour les adoucir après le shampaoing;0.0;0.0;0.0;0.0;0.0;0.07940135272449433;0.0;0.0;0.0;0.10727176439023638;0.00011316730500673201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09952627105551276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002642121749841195;0.0
2099;Reçu dans les délais. Emballage parfait. Conforme à mes attentes. Excellente qualité.;0.0;0.0;0.0;0.0;0.11924844740403683;0.0;0.09891275585440384;0.0;0.0;0.0;0.0;0.00014373415810690253;0.0;0.0;0.0;0.13068253430148097;0.0;0.0;0.1056211439769637;0.0;0.0;0.0;0.00012967979822379184;0.0;0.0;0.0;0.0;0.010201768684526373;0.0
2100;Très déçu du produit g suivi les instructions et je l ai fais mais c comme si j avais pas effectué le lissage mes cheuveux sont rester frisées et rien n y a changer;0.00011604526414395861;9.877368888786461e-05;0.000579144057759331;0.0;3.963067790187092e-05;8.084755613071244e-05;0.0004218362438607142;0.0006345910724347516;0.00016554985738841298;0.001181153507714174;0.001332978623635263;0.0004459988286339345;0.0;0.0020598017298003478;5.926654206346862e-05;0.00245479043883563;0.004534045137709121;0.003234109095861145;0.00019034708766488642;0.0002427741051347051;0.0;0.0013195606771753585;0.0015182811995718831;0.0003586475842016313;0.0015557615304566165;0.003438611125197688;0.002272385117415217;1.1994020815326771e-05;0.0015979578972491167
2101;agréable à utiliser facile d'application odeur agréable facilite l'application du fond de teint et prolonge sa tenue aucun souci avec le produit ni avec la livraison;0.0;0.0;0.06624193230238568;0.0;0.0005164359531408846;0.0;4.342265016711672e-05;0.0;0.07608797659255974;0.0;0.0;0.07486481123732684;0.0;0.0;0.10384822915140124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1520562577245813;0.0;0.0;0.0
2102;Mes cheveux;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2103;efficacité.. bonne coloration. Facilité d'emploi et cerise sur le gâteau tenue parfaite après différents shampoings.;5.6622748225377124e-05;0.00016437401119625476;0.0001944706412314017;0.00029870272685600103;0.0;0.00017296821841889412;0.0008693099953481957;0.0;0.0014356089032203335;0.0004058893674059368;0.0011019280330971022;6.528865060751044e-05;0.000270830435353418;0.001780704186445846;0.001684914035449733;0.00036514626479890703;0.001483750353998581;0.003668936597250381;5.1608798497371574e-05;0.003935388440936762;0.00047877339053866086;0.00021582196831952048;0.0001125810051153727;0.00037060615522900353;0.0029314120547718064;0.0010262802928098587;0.0008857531999155637;0.0;0.0
2104;Bien entendu je le recommande;0.11453845834459406;0.0;0.0;0.001363008905934962;0.0;0.0;0.0;0.00015832602346262686;0.0;0.0;0.0;0.0;0.0009316726424743063;0.0;0.0;0.0015732381158338187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2105;parfait pour mes cheveux, mieux que la laque et le gel pour des cheveux fins comme les miens, je le recommande!;0.09053385669655242;0.0;0.0;0.0;2.5214549341827073e-05;0.0;0.0;0.0;0.002502720465492379;0.004346399435300973;0.0;0.0007339266812836732;0.00016296776955709982;0.004349498743950083;0.0016530001758309095;0.0;0.004704647093841909;0.0;0.0005638553656735496;0.0036978251308448645;0.0014443399450891617;0.0;0.0017316850161363695;0.02638632181853207;0.001312011000260592;0.0;0.0034794048619815037;0.0;0.013116227275271682
2106;Ce shampooing me sert régulièrement pour mes cheveux colorés blonds : cela les empêche de virer au roux et garde la couleur intacte;0.0004813957264233401;0.0;0.0;0.0;2.2346177426789453e-05;0.0005092506799313362;0.0;6.682251828759965e-05;0.00227443907140253;0.0008879742313739555;0.08467593621736257;0.0009872218334111;0.0;0.00034415775466997716;0.0022157725555112993;0.0;0.0;0.0023743279571630652;0.0;0.014250047470016023;0.0;0.0013957704919139145;0.001415186130267003;0.0;0.00506225682341543;0.0;0.0005188002373662732;0.0;0.0
2107;pour des raisons capillaires chute de cheveux;0.0006588799306509347;6.19108594679876e-05;0.0;0.0004859710788192209;0.0;0.0;1.0376834804483076e-05;0.0;0.0007398751922246755;0.0015290955756987908;0.00012281505487328457;0.0;0.0;0.002192972752856788;0.0006855269696854589;0.0;0.0005483529300408622;0.006899619298814954;0.0002613004309660926;0.0;0.000972376635748188;0.0005146270075659078;0.0;0.0002601408071366209;0.0019142506733447837;0.0;0.0;0.0005321735436534128;0.0041892997516119615
2108;j'ai des mèches blondes qui on tendance à jaunir très vite j'ai essayé l 'oreal mes meches se sont éclaircies  sur les conseils de ma coiffeuse j'en fait 1 sur 2 et chaque fois je lave d'abord mes cheveux avec un schampoing neutre pour eviter qu'ils ne soient  trop secs. BON PRODUIT;0.0009138127911133667;3.2680796276514986e-05;0.0011796823526121815;0.00017991241331118238;0.0003897375006458126;0.0003573747985768023;0.00047478096482670763;0.00038276680708194017;0.005184900526532855;0.001152793008390167;0.008563043302994419;0.004478525619431797;0.0;0.006944680054934926;0.0;0.0020968746035589163;0.007236452945343558;0.005222742113490635;0.00023036922310738396;0.004373413678326921;0.0;0.007448423090879541;0.005286082749255565;0.0;0.012335083915640699;0.0;0.0;0.0;0.025970667352900705
2109;Parfait pour ceux qui ont les cheveux épais difficile a coiffer mettre juste une noisette sur cheveux humides;6.730152832726692e-05;0.0;0.0;0.0;0.0;0.00011740652487437578;0.0;0.0026302664847451403;0.0002554714524658832;0.0;0.0014759407797275451;0.0;0.006064246040424208;0.0010529713833067663;0.015006760873137149;0.0;0.007716369878940602;0.030339025802255507;0.0;0.003271430935165624;0.0014053370917528779;0.01495213747226397;0.000345396303088404;0.0076494443604634465;0.004208699460089848;0.014090843317359202;0.011055731277831281;0.0003567245292380406;0.0
2110;Tout d'abords blanc lorsqu'il sort du tube , devient teinté en frottant, ce qui rend l'application pas très facile ni agréable .Un peu gras , je n'aime pas ...;3.5470317898804615e-05;0.0;0.0;0.0;0.0;0.0;0.0008523218191770403;0.0;0.0022722393030229133;0.0017998540757660274;0.008837963355994995;0.00022212173114253018;0.0;0.0;0.11131728964932827;0.0009744610992532918;0.0;0.0009291659123313354;1.1017863014429417e-05;8.044450599635711e-05;0.0;0.11931001965358644;0.0;0.0;0.0;0.0048785366489959275;0.0;0.0;0.0
2111;Super produit pour mes cheveux platine gris ! J ai essayé plusieurs marques, celui la est le meilleur! Reçu dans les temps, emballage niquel !;0.0001535289456257164;0.00019801605268321006;0.0;0.0;0.00037011384456110696;0.0;0.00038984293538856744;0.0;0.003409091600280775;0.002797827090529241;0.0041869927983978475;0.0037669258286241927;0.0021404299590119043;0.0056714328689505406;0.0;0.1065514055401702;0.0037273078054522206;0.009508856446285678;0.0;0.0021266011847194993;0.0;0.0;0.0;0.0;0.0;0.0002787913507378232;0.0;0.007956578531822387;0.05263591228462279
2112;Très bien idéal sur cheveux blonds ( anti jaunissement).Je l ai utilisé pour neutraliser le jaunissement de mes cheveux blonds;0.0008520212481311358;0.0;5.6748557667271695e-05;0.0002418336871120691;0.00020038471622990295;0.0009298562532835375;0.00014705043361124616;0.0011810219783076764;0.09037624291774464;0.0033494433179842476;0.02461074362217954;0.0;0.0;0.0006752301564467623;0.0;0.0;0.0;0.013222548031405884;0.0;0.0;0.0;0.0014642565987341204;0.004229533604453541;0.0;0.008289133157825302;0.0014119906063806737;0.0008660521377914619;0.0;0.0
