,author_id,gender,eye_color,hair_color,skin_concerns,skintone,skintype
477,S_marina77,Female,Marrons,,,,Mixte
478,S_lise57,Female,Marrons,,,,Mixte
479,S_LIGAL,Female,Marrons,,,,Mixte
480,S_Sofiane60000,Male,Marrons,,,,Normale
481,S_C493,Female,Marrons,,,,Seche
482,S_Mireille D,Female,Verts,,,,Deshydratee
483,S_jackie06,Female,Marrons,,,,Normale
484,S_arcoss,Female,Marrons,,,,Grasse
485,S_VAL24,,,,,,
486,S_Elespadaone,Male,Noirs,,,,Normale
487,S_Vaëlle,Female,Marrons,,,,Mixte
488,S_momo13,Male,,,,,
489,S_bizertino,,,,,,
490,S_Noussa9atoussa,Female,Marrons,,,,Mixte
491,S_Dimi971,Male,Noirs,,,,Mixte
492,S_ce2ricman,Male,Marrons,,,,Mixte
493,S_hillaryleschtis,Male,Marrons,,,,Normale
494,S_naoms12,Male,Marrons,,,,Normale
495,S_judissimo,Male,Bleus,,,,Normale
496,S_Glad974,Female,Marrons,,,,Mixte
497,S_louloute06,Female,Marrons,,,,Grasse
498,S_blaoui57,Male,Marrons,,,,Normale
499,S_Barbara17,Female,Bleus,,,,Seche
500,S_iRock75,Male,Verts,,,,Mixte
501,S_kevin75,Male,Marrons,,,,Mixte
502,S_moilaura,Female,,,,,
503,S_slemous,,,,,,
504,S_MissLaura,Female,Marrons,,,,Normale
505,S_David68,Male,Marrons,,,,Normale
506,S_Pataquiche,Male,Marrons,,,,Normale
507,S_Axeeeelle,Female,Verts,,,,Mixte
508,S_fubuki,Female,Marrons,,,,Mixte
509,S_Tempest200,Male,Marrons,,,,Normale
510,S_MONSEIGNEUR,Male,Marrons,,,,Mixte
511,S_Smally,Female,Bleus,,,,Normale
512,S_Hajer23,Female,Marrons,,,,Normale
513,S_britton,Male,Marrons,,,,Mixte
514,S_Tomimi,Male,Bleus,,,,Seche
515,S_Fayçal93,Male,Marrons,,,,Mixte
516,S_viriginie,Female,Marrons,,,,Mixte
517,S_david51,Male,Marrons,,,,Normale
518,S_titebulle,Female,Marrons,,,,Mixte
519,S_RollingStone,Male,Marrons,,,,Normale
520,S_maloue,Female,Verts,,,,Normale
521,S_IIIIAmandineIIII,Female,Marrons,,,,Mixte
522,S_lmharry,Male,Verts,,,,Seche
523,S_Andjoc,Male,Verts,,,,Normale
524,S_jerome,Male,Gris,,,,Normale
525,S_fabi5400,Male,Marrons,,,,Mixte
526,S_Kayo93400,Male,Marrons,,,,Normale
527,S_tamara,Female,Marrons,,,,Mixte
528,S_nanou68,Female,Verts,,,,Mixte
529,S_mouhaaa,Male,Bleus,,,,Normale
530,S_kittyrina,Female,Marrons,,,,Grasse
531,S_marloche,Female,Bleus,,,,Mixte
532,S_melleambre,Female,Marrons,,,,Normale
533,S_nousha,Female,Gris,,,,Normale
534,S_sylvie54,Female,Verts,,,,Normale
535,S_Richard,Male,,,,,
536,S_tagada6,Female,Marrons,,,,Seche
537,S_Filifou,,,,,,
538,S_LILOU99,Female,Verts,,,,Grasse
539,S_misterparfum,Male,Bleus,,,,Mixte
540,S_guiso84,Female,Marrons,,,,Normale
541,S_Flipe75,Male,Bleus,,,,Deshydratee
542,S_C556,Male,Verts,,,,Normale
543,S_max38430,Male,Marrons,,,,Normale
544,S_Julien596,Male,Bleus,,,,Seche
545,S_bilou76,Male,Marrons,,,,Mixte
546,S_mamabebe,Female,Bleus,,,,Normale
547,S_stephh,Male,Marrons,,,,Normale
548,S_gwendor60,,,,,,
549,S_avamarie,Female,Marrons,,,,Mixte
550,S_Rose123mad,Female,Marrons,,,,Deshydratee
551,S_mirenn,Female,Verts,,,,Mixte
552,S_Diane71,Female,Marrons,,,,Seche
553,S_mitsouko,Female,Marrons,,,,Mixte
554,S_nanou55,Female,Verts,,,,Seche
555,S_nana25,Female,Verts,,,,Grasse
556,S_Csinos,Female,Verts,,,,Normale
557,S_franfran,Female,Marrons,,,,Seche
558,S_C572,,,,,,
559,S_Orphanie,Female,Verts,,,,Deshydratee
560,S_Ninotchka,Female,,,,,
561,S_chloesuisse,Female,Verts,,,,Deshydratee
562,S_laurye,Female,Marrons,,,,Mixte
563,S_Justine paris 20,,Marrons,,,,Mixte
564,S_yllen83,Female,Bleus,,,,Mixte
565,S_karinouche,Female,Marrons,,,,Seche
566,S_Noële24,Female,Marrons,,,,Deshydratee
567,S_Padmée,Female,Verts,,,,Mixte
568,S_slasshh,Female,Marrons,,,,Mixte
569,S_ghyslène,Female,Marrons,,,,Normale
