,pos_tagged_coms
31,"[(""J'"", 'CLS'), ('ai', 'V'), ('testé', 'VPP'), ('plusieurs', 'DET'), ('palettes', 'NC'), ('correctrices', 'ADJ'), ('et', 'CC'), (""j'"", 'CLS'), ('ai', 'V'), ('fini', 'VPP'), ('par', 'P'), ('acheter', 'VINF'), ('celle', 'PRO'), ('-', 'PUNC'), ('ci', 'ADV'), ('pour', 'P'), ('atténuer', 'VINF'), ('mes', 'DET'), ('rougeurs', 'NC'), ('et', 'CC'), ('ma', 'DET'), ('couperose', 'NC'), ('.', 'PUNC'), ('Certains', 'PRO'), ('se', 'CLR'), ('plaindront', 'V'), ('du', 'P'), ('manque', 'NC'), (""d'"", 'P'), ('un', 'DET'), ('pinceau', 'NC'), (',', 'PUNC'), ('mais', 'CC'), ('je', 'CLS'), ('trouve', 'V'), ('cela', 'PRO'), ('superflu', 'ADJ'), ('et', 'CC'), (""l'"", 'DET'), ('application', 'NC'), ('au', 'P'), ('doigt', 'NC'), ('plus', 'ADV'), ('intuitive', 'ADJ'), ('et', 'CC'), ('facile', 'ADJ'), ('pour', 'P'), ('travailler', 'VINF'), ('la', 'DET'), ('texture', 'NC'), ('.', 'PUNC'), (""J'"", 'CLS'), ('ai', 'V'), ('un', 'DET'), ('meilleur', 'ADJ'), ('rendu', 'VPP'), ('et', 'CC'), ('fondu', 'VPP'), ('avec', 'P'), ('un', 'DET'), ('application', 'NC'), ('au', 'P'), ('doigt', 'NC'), ('plutôt', 'ADV'), ('qu', 'ADJ'), (""'"", 'NC'), ('avec', 'P'), ('le', 'DET'), ('pinceau', 'NC'), (',', 'PUNC'), (""j'"", 'CLS'), ('ai', 'V'), ('principalement', 'ADV'), ('appliqué', 'VPP'), ('le', 'DET'), ('vert', 'NC'), (',', 'PUNC'), ('les', 'DET'), ('autres', 'ADJ'), ('couleurs', 'NC'), ('étant', 'VPR'), ('difficile', 'ADJ'), ('à', 'P'), ('appliquer', 'VINF'), ('pour', 'P'), ('moi', 'PRO'), ('puisque', 'CS'), ('je', 'CLS'), ('dois', 'V'), ('en', 'P'), ('mixer', 'VINF'), ('plusieurs', 'DET'), ('pour', 'P'), ('pouvoir', 'VINF'), ('atténuer', 'VINF'), ('mes', 'DET'), ('cernes', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('pense', 'V'), ('que', 'CS'), ('les', 'DET'), ('teintes', 'NC'), ('ne', 'ADV'), ('sont', 'V'), ('pas', 'ADV'), ('adaptées', 'ADJ'), ('à', 'P'), ('ma', 'DET'), ('carnation', 'NC'), (',', 'PUNC'), (""j'"", 'CLS'), ('aurais', 'V'), ('besoin', 'NC'), (""d'"", 'P'), ('un', 'DET'), ('anti', 'N'), ('-', 'PUNC'), ('cernes', 'N'), ('plus', 'ADV'), ('jaune', 'ADJ'), ('.', 'PUNC'), ('Après', 'P'), ('application', 'NC'), ('de', 'P'), ('mon', 'DET'), ('fond', 'N'), ('de', 'P'), ('teint', 'N'), (',', 'PUNC'), ('le', 'DET'), ('correcteur', 'ADJ'), ('ne', 'ADV'), ('se', 'CLR'), ('perçoit', 'V'), ('pas', 'ADV'), ('et', 'CC'), (""c'"", 'CLS'), ('est', 'V'), ('le', 'DET'), ('plus', 'ADV'), ('important', 'ADJ'), ('qu', 'NC'), (""'"", 'DET'), ('il', 'DET'), ('camoufle', 'V'), ('les', 'DET'), ('imperfections', 'NC'), ('sans', 'P'), ('être', 'VINF'), ('visible', 'ADJ'), ('.', 'PUNC')]"
32,"[('Livraison', 'NC'), ('express', 'ADJ'), ('comme', 'P'), (""d'"", 'P'), ('abitude', 'NC'), ('.', 'PUNC'), ('petit', 'ADJ'), ('prix', 'NC'), ('.', 'PUNC'), ('Bon', 'ADJ'), ('shampoing', 'NC'), ('pour', 'P'), ('déjaunir', 'VINF'), ('les', 'DET'), ('cheveux', 'NC'), ('mechés', 'ADJ'), ('.', 'PUNC'), ('pratique', 'NC'), ('avec', 'P'), ('sa', 'DET'), ('pompe', 'NC'), ('satisfaite', 'ADJ'), ('de', 'P'), ('mon', 'DET'), ('achat', 'NC')]"
33,"[('Très', 'ADV'), ('bonne', 'ADJ'), ('gamme', 'NC'), (',', 'PUNC'), ('parfum', 'NC'), ('doux', 'ADJ'), ('et', 'CC'), ('nourrit', 'V'), ('vraiment', 'ADV'), ('très', 'ADV'), ('bien', 'ADV'), ('le', 'DET'), ('cheveux', 'NC'), (',', 'PUNC'), ('je', 'CLS'), ('ne', 'ADV'), ('trouve', 'V'), ('pas', 'ADV'), ('mieux', 'ADV'), ('depuis', 'P'), ('ou', 'CC'), ('sinon', 'ADV'), ('à', 'P'), ('chaque', 'DET'), ('fois', 'NC'), ('que', 'ADV'), ('j', 'NC'), ('’', 'DET'), ('ess', 'ET'), ('Je', 'CLS'), ('reste', 'V'), ('déçu', 'VPP'), ('et', 'CC'), ('reviens', 'VPP'), ('vite', 'ADV'), ('à', 'P'), ('ce', 'DET'), ('masque', 'NC')]"
34,"[('Mascara', 'V'), ('allongeant', 'VPR'), ('qui', 'PROREL'), ('tient', 'V'), ('toutes', 'ADJ'), ('ses', 'DET'), ('promesses', 'NC'), ('.', 'PUNC'), ('Noir', 'NPP'), ('intense', 'ADJ'), ('.', 'PUNC'), ('Brosse', 'N'), ('fine', 'ADJ'), ('à', 'P'), ('pivots', 'NC'), ('.', 'PUNC'), ('Ne', 'ADV'), ('fait', 'V'), ('pas', 'ADV'), ('de', 'P'), ('paquets', 'NC'), ('.', 'PUNC'), ('Joli', 'NPP'), ('packaging', 'NC'), ('.', 'PUNC')]"
35,"[('très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), ('!', 'PUNC'), ('rien', 'PRO'), ('à', 'P'), ('dire', 'VINF')]"
36,"[('Première', 'ADJ'), ('utilisation', 'NC'), (',', 'PUNC'), ('une', 'DET'), ('très', 'ADV'), ('petite', 'ADJ'), ('quantité', 'NC'), ('suffit', 'V'), ('pour', 'P'), ('se', 'CLR'), ('coiffer', 'VINF'), ('!', 'PUNC'), ('(', 'NC'), (""J'"", 'CLS'), ('en', 'CLO'), ('ai', 'V'), ('mis', 'VPP'), ('trop', 'ADV'), ('^', 'DET'), ('^', 'NC'), (')', 'ADJ'), ('Bonne', 'ADJ'), ('tenue', 'NC'), ('et', 'CC'), ('comme', 'P'), ('annoncé', 'VPP'), (',', 'PUNC'), ('sans', 'P'), ('résidus', 'NC'), (',', 'PUNC'), ('ne', 'ADV'), ('colle', 'V'), ('pas', 'ADV'), ('!', 'PUNC'), ('Impeccable', 'ADJ'), ('!', 'PUNC'), ('Je', 'CLS'), ('le', 'CLO'), ('recommande', 'V'), ('!', 'PUNC')]"
37,"[('Bonne', 'ADJ'), ('tenue', 'NC'), ('des', 'P'), ('cheveux', 'NC'), ('mais', 'CC'), ('ne', 'ADV'), ('colle', 'V'), ('pas', 'ADV'), ('.', 'PUNC'), ('Très', 'ADV'), ('facile', 'ADJ'), ('à', 'P'), ('utiliser', 'VINF')]"
38,"[('Achat', 'NC'), ('conforme', 'ADJ'), ('.', 'PUNC')]"
39,"[('Juste', 'ADV'), ('parfait', 'ADJ'), ('Il', 'CLS'), ('sent', 'V'), ('bon', 'ADJ'), ('Il', 'CLS'), ('est', 'V'), ('grand', 'ADJ'), ('!', 'PUNC'), ('Le', 'DET'), ('pot', 'N'), ('dur', 'ADJ'), ('assez', 'ADV'), ('longtemps', 'ADV'), ('avec', 'P'), ('un', 'DET'), ('lavage', 'NC'), ('quotidien', 'ADJ'), ('!', 'PUNC'), ('Protégé', 'NPP'), ('parfaitement', 'ADV'), ('les', 'DET'), ('cheveux', 'NC')]"
40,"[('-', 'PUNC'), ('Re', 'N'), ('-', 'PUNC'), ('Pigmenter', 'N'), ('les', 'DET'), ('cheveux', 'NC'), ('selon', 'P'), ('sa', 'DET'), ('couleur', 'NC'), ('naturelle', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), (""J'"", 'CLS'), ('avoue', 'V'), ('qu', 'ADV'), (""'"", 'DET'), ('avant', 'P'), (""d'"", 'P'), ('essayer', 'VINF'), ('le', 'DET'), ('produit', 'NC'), ('je', 'CLS'), (""n'"", 'ADV'), ('étais', 'V'), ('pas', 'ADV'), ('convaincu', 'VPP'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), (""D'"", 'P'), ('autant', 'ADV'), ('que', 'C'), ('cela', 'PRO'), (""n'"", 'ADV'), ('étais', 'V'), ('pas', 'ADV'), ('évident', 'ADJ'), ('puisque', 'CS'), ('la', 'DET'), ('notice', 'NC'), ('donne', 'V'), ('quelques', 'DET'), ('contre', 'P'), ('indications', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('dont', 'PROREL'), ('une', 'PRO'), ('qui', 'PROREL'), ('me', 'CLO'), ('concerne', 'V'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('les', 'DET'), ('cheve', 'NC')]"
41,"[('il', 'CLS'), ('avait', 'V'), ('arreté', 'VPP'), ('la', 'DET'), ('vente', 'NC'), ('au', 'P'), ('supermarché', 'NC'), ('et', 'CC'), ('il', 'CLS'), ('était', 'V'), ('les', 'DET'), ('mieux', 'ADV'), ('placé', 'ADJ'), ('niveau', 'NC'), ('prix', 'NC'), (',', 'PUNC'), ('bon', 'ADJ'), ('il', 'CLS'), ('on', 'CL'), ('repris', 'VPP'), ('en', 'P'), ('supermarché', 'NC'), ('et', 'CC'), ('là', 'ADV'), ('par', 'P'), ('contre', 'P'), ('ce', 'PRO'), (""n'"", 'ADV'), ('est', 'V'), ('plus', 'ADV'), ('avantageux', 'ADJ'), ('de', 'P'), ('le', 'CLO'), ('prendre', 'VINF'), ('en', 'P'), ('ligne', 'NC')]"
42,"[('rien', 'PRO'), ('à', 'P'), ('dire', 'VINF'), ('sur', 'P'), ('la', 'DET'), ('qualité', 'NC'), ('prouvé', 'VPP'), ('de', 'P'), ('ce', 'DET'), ('produit', 'NC'), ('pour', 'P'), ('se', 'CLR'), ('faire', 'VINF'), ('des', 'DET'), ('yeux', 'NC'), ('de', 'P'), ('biche', 'NC')]"
43,"[('ce', 'DET'), ('produit', 'NC'), ('et', 'CC'), ('tous', 'ADJ'), ('a', 'V'), ('fait', 'VPP'), ('se', 'CLR'), ('que', 'PROREL'), (""j'"", 'CLS'), ('attendais', 'V'), (',', 'PUNC'), ('ayant', 'VPR'), ('pris', 'VPP'), ('le', 'DET'), ('meme', 'NC'), ('produit', 'VPP'), ('au', 'P'), ('coiffeur', 'NC'), ('est', 'V'), (""l'"", 'DET'), ('ayant', 'VPR'), ('payé', 'VPP'), ('plus', 'ADV'), ('cher', 'ADJ'), (',', 'PUNC'), ('je', 'CLS'), ('recommande', 'V'), ('le', 'DET'), ('produit', 'NC'), ('.', 'PUNC')]"
44,"[('le', 'DET'), ('seul', 'ADJ'), ('petit', 'ADJ'), ('b', 'N'), ('-', 'PUNC'), ('mol', 'N'), (""c'"", 'CLS'), ('est', 'V'), ('que', 'CS'), ('ce', 'DET'), ('shampooing', 'NC'), ('a', 'V'), ('tendance', 'NC'), ('à', 'P'), ('bleuir', 'VINF'), ('légèrement', 'ADV'), ('les', 'DET'), ('mains', 'NC'), ('lorsqu', 'ADJ'), (""'"", 'ADJ'), ('on', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V'), ('mais', 'CC'), ('ça', 'PRO'), ('part', 'V'), ('rapidement', 'ADV'), ('sinon', 'ADV'), ('y', 'CLO'), ('a', 'V'), ('pas', 'ADV'), ('mieux', 'ADV'), ('pour', 'P'), ('déjaunir', 'VINF'), ('!', 'PUNC'), ('parole', 'N'), ('de', 'P'), ('coiffeuse', 'ADJ'), ('!', 'PUNC')]"
45,
46,"[('Acheté', 'VPP'), ('en', 'P'), ('une', 'DET'), ('si', 'ADV'), ('généreuse', 'ADJ'), ('quantité', 'NC'), (',', 'PUNC'), ('calculez', 'VIMP'), ('à', 'P'), ('combien', 'ADVWH'), ('ce', 'PRO'), ('produit', 'V'), ('vous', 'CLS'), ('revient', 'V'), (""s'"", 'CS'), ('il', 'CLS'), ('est', 'V'), ('acheté', 'VPP'), ('chez', 'P'), ('un', 'DET'), ('coiffeur', 'NC'), ('(', 'ADJ'), ('introuvable', 'ADJ'), ('ailleurs', 'N'), ('en', 'P'), ('petite', 'ADJ'), ('quantité', 'NC'), (')', 'ADJ'), (',', 'PUNC'), ('vous', 'CLS'), ('aurez', 'V'), ('vite', 'ADV'), ('compris', 'VPP'), ('que', 'CS'), ('chez', 'P'), ('AMAZON', 'NPP'), (',', 'PUNC'), ('il', 'CLS'), (""n'"", 'ADV'), ('y', 'CLO'), ('a', 'V'), ('pas', 'ADV'), ('mieux', 'ADV'), ('rapport', 'N'), ('qualité', 'N'), ('/', 'PUNC'), ('prix', 'NC'), (',', 'PUNC'), ('avec', 'P'), ('envoi', 'NC'), ('rapide', 'ADJ'), ('et', 'CC'), ('soigné', 'VPP'), ('.', 'PUNC')]"
47,"[('Livré', 'VPP'), ('rapidement', 'ADV'), ('et', 'CC'), ('tout', 'ADV'), ('à', 'P'), ('fait', 'N'), ('conforme', 'ADJ'), ('au', 'P'), ('produit', 'NC'), ('acheté', 'VPP'), ('précédemment', 'ADV'), ('en', 'P'), ('salon', 'NC'), ('.', 'PUNC'), (""L'"", 'DET'), ('hydratation', 'NC'), ('et', 'CC'), ('la', 'DET'), ('nutrition', 'NC'), ('font', 'V'), ('de', 'P'), ('se', 'CLR'), ('produit', 'V'), ('un', 'DET'), ('best', 'NC'), ('-', 'PUNC'), ('seller', 'VINF'), ('à', 'P'), ('avoir', 'VINF'), ('absolument', 'ADV'), ('pour', 'P'), ('reconstruire', 'VINF'), ('parfaitement', 'ADV'), ('les', 'DET'), ('fibres', 'NC'), ('capillaires', 'ADJ'), ('.', 'PUNC'), ('Je', 'CLS'), ('recommande', 'V'), ('fortement', 'ADV'), ('.', 'PUNC')]"
48,"[('mon', 'DET'), ('coiffeur', 'NC'), ('me', 'CLO'), ('l', 'CLO'), ('a', 'V'), ('conseillé', 'VPP'), ('pour', 'P'), ('mes', 'DET'), ('mes', 'DET'), ('mèches', 'ADJ'), ('j', 'NC'), ('en', 'P'), ('suis', 'V'), ('ravie', 'N'), ('mes', 'DET'), ('cheveux', 'NC'), ('restent', 'V'), ('beaux', 'ADJ'), ('et', 'CC'), ('blonds', 'ADJ'), ('clairs', 'ADJ')]"
49,"[('Assez', 'ADV'), ('difficile', 'ADJ'), ('à', 'P'), ('réaliser', 'VINF'), ('seule', 'ADJ'), ('.', 'PUNC'), ('Cela', 'PRO'), ('a', 'V'), ('pas', 'ADV'), ('mal', 'ADV'), ('abimé', 'VPP'), ('mes', 'DET'), ('pointes', 'NC'), ('et', 'CC'), ('longueurs', 'NC'), ('qui', 'PROREL'), ('ont', 'V'), ('déjà', 'ADV'), ('eu', 'VPP'), ('ce', 'DET'), ('type', 'NC'), ('de', 'P'), ('lissage', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('Cependant', 'ADV'), ('cela', 'PRO'), ('a', 'V'), ('bien', 'ADV'), ('marché', 'NC'), ('pour', 'P'), ('les', 'DET'), ('racines', 'NC'), ('naturelles', 'ADJ'), (',', 'PUNC'), ('les', 'DET'), ('cheveux', 'NC'), ('ont', 'V'), ('bien', 'ADV'), ('été', 'VPP'), ('assouplis', 'VPP'), ('.', 'PUNC'), ('Léger', 'ADJ'), ('bémol', 'NC'), ('aussi', 'ADV'), (',', 'PUNC'), ('cela', 'PRO'), ('a', 'V'), ('beaucoup', 'ADV'), ('éclairci', 'VPP'), ('ma', 'DET'), ('couleur', 'NC'), ('!', 'PUNC'), ('Car', 'CC'), ('le', 'DET'), ('produit', 'NC'), ('contient', 'V'), ('du', 'P'), ('peroxyde', 'NC'), (""d'"", 'P'), ('hydrogène', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), (':', 'PUNC'), ('S', 'NC')]"
50,"[('La', 'DET'), ('couleur', 'NC'), ('est', 'V'), ('magnifique', 'ADJ'), (',', 'PUNC'), ('rien', 'PRO'), ('que', 'ADV'), ('pour', 'P'), ('ça', 'PRO'), ('il', 'CLS'), ('vaut', 'V'), ('le', 'DET'), ('coup', 'N'), ('.', 'PUNC'), ('Dommage', 'N'), ('que', 'CS'), (""l'"", 'DET'), ('étiquette', 'NC'), ('avec', 'P'), ('le', 'DET'), ('code', 'NC'), ('barre', 'NC'), ('soit', 'CC'), ('au', 'P'), ('milieu', 'NC'), ('du', 'P'), ('mode', 'NC'), (""d'"", 'P'), ('emploi', 'NC'), ('qui', 'PROREL'), ('lui', 'CLO'), ('est', 'V'), ('en', 'P'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('allemand', 'ADJ'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('Pas', 'ADV'), ('un', 'DET'), ('mot', 'NC'), ('de', 'P'), ('français', 'NC'), ('sur', 'P'), ('le', 'DET'), ('produit', 'NC'), ('.', 'PUNC'), ('Réservé', 'VPP'), ('aux', 'P'), ('polyglottes', 'NC'), ('.', 'PUNC')]"
51,"[('Je', 'CLS'), ('l', 'CLO'), ('’', 'V'), ('utilise', 'V'), ('depuis', 'P'), ('20', 'DET'), ('ans', 'NC'), ('.', 'PUNC'), ('En', 'P'), ('général', 'N'), (',', 'PUNC'), ('j', 'NC'), ('’', 'CLO'), ('en', 'CLO'), ('suis', 'V'), ('satisfait', 'ADJ'), (',', 'PUNC'), ('mais', 'CC'), ('Il', 'CLS'), ('faut', 'V'), ('l', 'CLO'), ('’', 'VS'), ('utiliser', 'VINF'), ('au', 'P'), ('moins', 'ADV'), ('deux', 'DET'), ('fois', 'NC'), ('par', 'P'), ('mois', 'NC'), ('(', 'DET'), ('mieux', 'DET'), ('tous', 'ADJ'), ('les', 'DET'), ('10', 'ADJ'), ('-', 'PUNC'), ('12', 'DET'), ('jours', 'NC'), (')', 'ADJ'), (',', 'PUNC'), ('autrement', 'ADV'), ('les', 'DET'), ('cheveux', 'NC'), ('ont', 'V'), ('tendance', 'NC'), ('au', 'P'), ('jaunissement', 'NC'), ('.', 'PUNC'), ('C', 'N'), ('’', 'N'), ('est', 'V'), ('un', 'DET'), ('peu', 'ADV'), ('cher', 'ADJ'), ('par', 'P'), ('rapport', 'N'), ('à', 'P'), ('autres', 'ADJ'), ('colorants', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC')]"
52,"[('Très', 'ADV'), ('bon', 'ADJ'), ('shampooing', 'NC')]"
53,"[(""J'"", 'CLS'), ('ai', 'V'), ('connue', 'VPP'), ('cette', 'DET'), ('cire', 'NC'), ('chez', 'P'), ('un', 'DET'), ('coiffeur', 'NC'), ('qui', 'PROREL'), ('me', 'CLO'), (""l'"", 'CLO'), ('a', 'V'), ('vendue', 'VPP'), ('plus', 'ADV'), ('de', 'P'), ('20', 'DET'), ('€', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('En', 'P'), ('cherchant', 'VPR'), ('sur', 'P'), ('amazon', 'NC'), ('je', 'CLS'), ('suis', 'V'), ('tombé', 'VPP'), ('dessus', 'ADV'), ('pour', 'P'), ('13', 'ADJ'), ('euros', 'NC'), (',', 'PUNC'), (""j'"", 'CLS'), ('adore', 'V'), ('cette', 'DET'), ('cire', 'NC'), ('-', 'PUNC'), ('gel', 'NC'), (',', 'PUNC'), (""j'"", 'CLS'), ('ai', 'V'), ('les', 'DET'), ('cheveux', 'NC'), ('secs', 'ADJ'), ('donc', 'ADV'), (""c'"", 'CLS'), ('est', 'V'), ('ce', 'DET'), ('qu', 'NC'), (""'"", 'PROREL'), ('il', 'CLS'), ('me', 'CLO'), ('faut', 'V'), ('pour', 'P'), ('les', 'CLO'), ('nourrir', 'VINF'), ('.', 'PUNC'), ('Très', 'ADV'), ('bonne', 'ADJ'), ('qualité', 'NC'), (',', 'PUNC'), (""j'"", 'CLS'), ('utilise', 'V'), ('depuis', 'P'), ('plus', 'ADV'), (""d'"", 'P'), ('1', 'DET'), ('an', 'NC')]"
54,"[('Parfait', 'ADJ'), ('.', 'PUNC'), ('Je', 'CLS'), ('connais', 'V'), ('ce', 'DET'), ('produit', 'NC'), ('et', 'CC'), ('je', 'CLS'), (""l'"", 'CLO'), ('adore', 'V'), ('.', 'PUNC'), ('Je', 'CLS'), ('le', 'CLO'), ('conseille', 'V'), ('vivement', 'ADV'), ('.', 'PUNC'), ('Cet', 'DET'), ('eyeliner', 'NC'), ('tient', 'V'), ('toute', 'ADJ'), ('la', 'DET'), ('journée', 'NC'), ('.', 'PUNC'), (""C'"", 'CLS'), ('est', 'V'), ('le', 'DET'), ('top', 'ET'), ('pour', 'P'), ('un', 'DET'), ('prix', 'NC'), ('très', 'ADV'), ('abordable', 'ADJ'), ('.', 'PUNC')]"
55,"[('Je', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V'), ('seulement', 'ADV'), ('depuis', 'P'), ('deux', 'DET'), ('semaines', 'NC'), ('donc', 'ADV'), ('pas', 'ADV'), ('forcément', 'ADV'), ('assez', 'ADV'), ('de', 'P'), ('recul', 'NC'), ('pour', 'P'), ('faire', 'VINF'), ('un', 'DET'), ('commentaire', 'NC'), ('détaillé', 'ADJ'), ('.', 'PUNC'), ('Mais', 'CC'), ('je', 'CLS'), ('je', 'CLS'), ('peux', 'V'), ('déjà', 'ADV'), ('dire', 'VINF'), ('que', 'CS'), ('pour', 'P'), ('une', 'DET'), ('crème', 'N'), ('hydratante', 'ADJ'), ('""', 'PUNC'), ('anti', 'ET'), ('-', 'PUNC'), ('age', 'ET'), ('""', 'PUNC'), ('elle', 'CLS'), ('est', 'V'), ('semble', 'V'), ('bien', 'ADV'), ('meilleure', 'ADJ'), ('que', 'CS'), ('les', 'DET'), ('équivalent', 'NC'), ('nivea', 'V'), ('que', 'CS'), (""j'"", 'CLS'), ('ai', 'V'), ('testé', 'VPP'), ('.', 'PUNC'), ('Elle', 'CLS'), ('hydrate', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('sans', 'P'), ('donner', 'VINF'), (""l'"", 'DET'), ('aspect', 'NC'), ('collant', 'ADJ'), ('.', 'PUNC'), ('Elle', 'CLS'), ('permet', 'V'), ('de', 'P'), ('masquer', 'VINF'), ('de', 'P'), ('légère', 'ADJ'), ('rides', 'NC'), ('(', 'ADJ'), ('donne', 'V'), ('un', 'DET'), ('aspect', 'NC'), ('lisse', 'V'), ('à', 'P'), ('la', 'DET'), ('peau', 'NC'), (')', 'ADJ'), (',', 'PUNC'), ('sent', 'V'), ('vraiment', 'ADV'), ('bon', 'ADJ'), ('.', 'PUNC'), ('Bref', 'ADV'), ('ca', 'ET'), ('semble', 'V'), ('un', 'DET'), ('produit', 'NC'), ('vraiment', 'ADV'), ('correct', 'ADJ'), ('.', 'PUNC'), ('Après', 'P'), ('oui', 'NC'), (""c'"", 'CLS'), ('est', 'V'), ('cher', 'ADJ'), (',', 'PUNC'), ('mais', 'CC'), ('les', 'DET'), ('produit', 'NC'), ('concurrent', 'NC'), ('sont', 'V'), ('du', 'P'), ('même', 'ADJ'), ('ordre', 'N'), ('de', 'P'), ('prix', 'N'), ('/', 'PUNC')]"
56,"[('Après', 'P'), ('plusieurs', 'DET'), ('utilisations', 'NC'), (',', 'PUNC'), ('je', 'CLS'), ('recommande', 'V'), ('à', 'P'), ('1000', 'DET'), ('%', 'NC'), ('ce', 'DET'), ('shampoing', 'NC'), ('de', 'P'), ('là', 'ADV'), ('gamme', 'NC'), ('inforcer', 'VINF'), ('de', 'P'), ('l', 'NC'), ('’', 'ADJ'), ('oreal', 'ADJ'), ('professionnel', 'ADJ'), (',', 'PUNC'), ('je', 'CLS'), ('l', 'V'), ('utilise', 'V'), ('avec', 'P'), ('le', 'DET'), ('masque', 'NC'), ('de', 'P'), ('là', 'ADV'), ('même', 'ADJ'), ('gamme', 'NC'), ('et', 'CC'), ('Le', 'DET'), ('résultat', 'NC'), ('est', 'V'), ('bluffant', 'VPR'), ('mais', 'CC'), ('cheveux', 'NC'), ('sont', 'V'), ('plus', 'ADV'), ('fort', 'ADJ'), ('plus', 'ADV'), ('doux', 'ADJ'), ('plus', 'ADV'), ('brillant', 'ADJ'), ('et', 'CC'), ('regraisse', 'V'), ('beaucoup', 'ADV'), ('moins', 'ADV'), ('vite', 'ADV'), (',', 'PUNC'), ('un', 'DET'), ('shampoing', 'NC'), ('de', 'P'), ('pro', 'DET'), ('à', 'P'), ('utiliser', 'VINF'), ('à', 'P'), ('la', 'DET'), ('maison', 'NC'), ('!', 'PUNC')]"
57,"[('Ne', 'ADV'), ('fonctionne', 'V'), ('pas', 'ADV'), ('sur', 'P'), ('mon', 'DET'), ('type', 'NC'), ('de', 'P'), ('cheveux', 'NC'), (',', 'PUNC'), ('Renseigner', 'NPP'), ('vous', 'CLO'), ('auprès', 'P'), ('de', 'P'), ('pro', 'DET'), ('de', 'P'), ('la', 'DET'), ('coiffure', 'NC'), ('avant', 'P'), ('achat', 'NC'), ('Déçu', 'VPP'), ('du', 'P'), ('produit', 'NC')]"
58,"[('Ce', 'CLS'), (""n'"", 'ADV'), ('est', 'V'), ('pas', 'ADV'), ('du', 'P'), ('tout', 'ADJ'), ('pigmenté', 'NC'), ('et', 'CC'), (""s'"", 'CLR'), ('efface', 'V'), ('trop', 'ADV'), ('facilement', 'ADV'), ('.', 'PUNC'), ('Il', 'CLS'), ('ne', 'ADV'), ('me', 'CLO'), ('sert', 'V'), ('à', 'P'), ('rien', 'PRO'), (',', 'PUNC'), ('de', 'P'), (""l'"", 'DET'), ('argent', 'NC'), ('gâché', 'VPP'), ('!', 'PUNC')]"
59,"[('Ce', 'DET'), ('masque', 'NC'), ('est', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('moi', 'PRO'), ('qui', 'PROREL'), ('ai', 'V'), ('les', 'DET'), ('cheveux', 'NC'), ('frisés', 'VPP'), ('et', 'CC'), ('très', 'ADV'), ('secs', 'ADJ'), ('je', 'CLS'), ('le', 'CLO'), ('trouve', 'V'), ('même', 'ADV'), ('encore', 'ADV'), ('mieux', 'ADV'), ('que', 'CS'), (""l'"", 'DET'), ('ancien', 'ADJ'), ('Absolut', 'NPP'), ('Repair', 'NPP'), ('que', 'PROREL'), (""j'"", 'CLS'), ('utilisais', 'V'), ('depuis', 'P'), ('des', 'DET'), ('années', 'NC'), ('.', 'PUNC'), ('il', 'CLS'), ('pénètre', 'V'), ('mieux', 'ADV'), ('les', 'DET'), ('cheveux', 'NC'), ('et', 'CC'), ('on', 'CLS'), ('en', 'CLO'), ('met', 'V'), ('moins', 'ADV'), ('.', 'PUNC'), ('Donc', 'NPP'), ('plus', 'ADV'), ('économique', 'ADJ'), ('aussi', 'ADV'), ('.', 'PUNC')]"
60,"[('Fait', 'NC'), ('vraiment', 'ADV'), ('sont', 'V'), ('boulot', 'N'), ('je', 'CLS'), (""l'"", 'CLO'), ('utilisé', 'VPP'), ('une', 'DET'), ('fois', 'NC'), ('par', 'P'), ('semaine', 'NC'), (""j'"", 'CLS'), ('ai', 'V'), ('des', 'DET'), ('mèches', 'NC'), ('blonde', 'V'), ('elle', 'CLS'), ('éclairci', 'VPP'), ('vraiment', 'ADV'), ('sachant', 'VPR'), ('que', 'ADV'), ('mon', 'DET'), ('but', 'NC'), ('qu', 'ET'), (""'"", 'ET'), ('elle', 'CLS'), ('soit', 'VS'), ('blanche', 'ADJ'), ('je', 'CLS'), ('recommande', 'V')]"
61,
